,content
10372,@TuesdayKnight oh no....u don't have to hit him up. He had a family emergency so there was a lil delay. Just can't wait to see them
24729,"@mini_ritz alrighty, thnx  good night."
18746,oh i hate the rain... and septa... and leaving my dog
3333,Oh no... that bird is back
33333,"@Scorch_Mom Emailed you - it'll be on the porch anytime. If you come tomorrow, we'll have to miss you! Don't worry about knocking!"
23780,got an awesome hair cut todayyyy  it looks so hottt haha doing homework
25509,@katiel777 it does.
26723,@solutioncoach  Great! I'm glad you enjoy them  I hope you have a GREAT day
23410,@ddlovato how was bamboozle? i wish i could've gone. &amp;&amp; have you worked with laurie ann gibson? she told me you guys worked together
12428,@QuiMo No happy hour in CCP eithah that's 2 bad
38853,is wishing all of the mother's out there a very Happy Mother's Day!! Love ya!
1495,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
8908,@vamp411316 haha that sucks! actually mine is worse. mines ft math  eww
5265,@alisongow I think I've been killed judging bt my energy after attacking just to see what happened  #spymaster
13593,"Gonna miss you Nanna &amp; Bampa, She going to the lake disdrict ):  Omg !! got disney channel. Miss you baby matt  Love you x Will do mitchel"
16082,What I'm gonna do  life is not good:'( no more Exit in this hallway I'm stuck in my world...
31374,"Just Saw Confessions Of A Shopoholic...Totally fell in love with Hugh Dancy's accent!! :3 Need $20.00 for tomorrow, new top i want!!"
8987,"@Maestro so I wanted to DM you back but I couldn't cuz your not following me  but thankss anyways, maybe ill see ya around in ELLE-AY  ..."
31647,says gots my mom a digital picture frame bout to scan pics of her wedding n all that mushy stuff  http://plurk.com/p/su3eq
35895,At social.  just saw G-1.. Awwww
5303,@anitapsays what happened?  are you suffering from neck/shoulder/back pain like me?  i can't move either
3790,Finally gonna try and fall asleep goodnight.. More like morn... I sleeP
23689,He he ...Happy #star wars day! May the 4th be with you  Brilliant!!
12816,"@genglo ouch! I can't even look at that one, just knowing it exists it enough for me"
36741,@markii187 Eeee! Hiya!  Haven't spoken to you in ages! How you doing? *enormous hug*
16821,@gengenw who knows  It makes me sad  lol
26590,@Deathwishedx3 and you. okaaaay
13260,"Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,"
22873,This weekend went by way too fast!  On my way to work with David Archuleta in tow.
1956,very disappointed in him    gonna have to sleep it off....
27070,I got a raise and praise!!!! Great way to start Monday off
29288,check it out check it out check it out.
27464,"@mcflyyerr yess, they came to amsterdam on the 18th of april  best night everr! have you?"
27365,@almightygod Do we need a poll to see whom is least comprehensible? Haha!!
26033,"@ikostar well, if Twitter was $1 a year, I think it'd be a lot easier to monetize than at $30  Less need for differentiated pay/nopay."
12125,"something outside has a bell  and i wont stop ringing, i think its children with bikes  the asbos"
21186,@sickophantikmnd now i'm done! good nite
19777,enjoy the laker game for me guys! since i'll be at work
892,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR
28260,@jmbuckingham Really?? I feel special
28759,"After a week staying with my Grandmother, I'm home in Lopatcong. . Can start my new book tonight.   http://twitpic.com/4w1s0"
20095,seepin'.
39695,long night. Sleeping now.
37466,@friendofanimals they are my shoes--circa is the brand name.
36279,"Now comes the fun part  Because you can find only a few offers per country or you live outside US, your changes can be quite tiny."
32475,The 22nd can't get here fast enough!
18172,@Rosellyanna lol i know  and haha..did you fall asleep?? or just get bored of shaun :p joke
4772,"Overslept. While the extra sleep was nice, it does play havoc with the days to-do list."
30685,"@amandapalmer missed interview on NPR, ironic because listened to NPR all day on long fucking car trip, watching Needle now, looks good"
16100,"@lulion07 i'm praying for you. Sorry to hear about your bro, man"
21471,????? http://is.gd/wxMt . ??????? ???  and may the source be with you
10659,wish i didnt have to go to work tonight
14305,@staceyviera I know. I was hoping to meet you tonite  &amp; I just found out a few min ago that we have a mutual friend Cuong H.
18205,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn
7315,Woohoo! Procrastinating doing any work by going out to lunch! Have to wait for my sister now though  dang it
11266,"@hwilliams3782 thanks, it's a job that pays the bills and nothing new except for the 15 sec trailer...I keep looking but nothing else"
16994,is being a horrible twitter-er. Moved in to my Houston apartment and awaiting work starting on Monday. Real world=now
23480,"@LushLtd Well aren't you just the kindest people in the world  Unfortunately, I have no such enquiries!"
27165,End of the academic year brings in a lot of mood swings ... Just recovered from some serious hypertension
8981,@mileycyrus http://twitpic.com/5ut6j - Poor Thing
37383,HAPPY MOTHER'S DAY to all you wonderful mothers!!
11876,EVERYONE VOTE FOR MILEY CYRUS FOR THE MTV MOVIE AWARDS BECAUSE I CAN'T THAT DOE'T WORK AT ME I'M #FRUSTRADED :@
27344,I wish Joe Bidden was on the train with me.
37836,Watching Battlestar Galactica Season 1...Yeah you read it right!
19515,"@ZackRabbit i chewed up a Starbucks and a Subway gift card at Christmas time, I got in big trouble. I not allowed near purse."
30908,@chupachupgirl Thanks.
15316,it's friday night. i'm home. no party this weekend
11801,My day on the computer is about to end. Dang. I hate not being allowed on the computer.
27496,i love monday night lineup  just wish it was over the span of the week. gossip girl - big bang theory - how i met your mother - the hills
12646,@blooddrunk SICK! I'm totally getting GH5!! Too bad you guys didn't get to play in Boston
14145,"Fuck, we have some kind of bugs in our house. And we dont know why or what it is"
2487,@Rina_spn what's going on?
27864,had a thrilling time with DAS joyride roadtrip! nice driving Pai and Paulo.  http://plurk.com/p/rrg18
6204,"@nickcres ive tried to, and nothing has worked. i dont think he's all that bothered *sigh*"
33474,"Dinner party was great!  Happy, full clients that is what I like to end my day with"
11408,"@drilone no email?   just kidding, it can wait filling out form now... seriously."
9782,"Just got done discing, found two discs in the last two days. Solid.  Wish @pacheros would treat my koozie better and not throw it around"
26853,@jessejane looks to be a great morning already!
21111,your smile
25122,@bigeyedfishie it was AMAZING!!! Had the best time  hope you had a good weekend too.
32833,"Goodnight. Actually, great night. Seeing Daniel tomorrow!"
36879,"@cathjenkin hehe  with milky white skin, dressed in silver spider's silk, with a crown of snowflakes ..."
14589,Terminator Salvation... by myself.
17323,I wish Saturday Night Fever was on again! I couldn't stay up lastnite for the whole thing
7953,Why are money problems so bad these days
35366,surprisingly had a wonderful day
20423,off shopping in southhampton with my mummers
28141,Right all strapped in and ready to go   http://twitpic.com/4jloj
6942,"I actually participated in lit today :p Also, it better not rain"
5821,My shirt is a fuzz magnet today and I feel totally uncomfortable
34482,@whatyoudeserve hahaha. do it  you'll have a blast.
11190,Writing in yearbooks make me wanna cry
4873,Men it's far too sunny
32021,Sunburned from Venice and watching Fred Claus....Such excitement!!
16153,Checkin out oramarecords.com. Got a fever and cnt sleep
7307,@sexxieluv dang....just so far away aren't I?    Darn I'll just have to dream
35165,nice night  bed time; work from 4:30-8:45 tomorrow
24868,@walkaboutgroup Have fun guys! We're about 55 days behind you
11879,@chilkotardis I am lost. Please help me find a good home.
13012,@Hardcore4 Damn Frat - that's too bad...  Should be a good show (at least I'm hoping so) esp. since it's in BK...
18213,Caught in a herd of somalions
31524,let's make this last forever.
26912,Wow. Shabu.  And now HIMYM! Really feels comforting
24779,@SmittySmiff dude i read that wrong! Haha well good good. Thanks.  but now I agree.
17658,"Prayin for dad  in Wellington, FL http://loopt.us/F8_Jqg.t (via @furman27).  I too live in welly. May i pray f.. http://bit.ly/lB9SN"
37909,"@brightondoll good  I have long believed that boys are stupid. I need to meet new ones, the ones I know only cause problems"
10364,@tonyhawk I missed them at Red Rocks.  Sad couple of days.
30020,watching supernatural  those boys can hunt me any day &lt;3 haha
13661,Its going to be a very long weekend. Very long.
7790,"Boys are sitting down for photos, no touching and no handshakes allowed.  #asylm"
36054,@kayleelovexx love those panties
37407,"got in a fist fight with a old biker guy.......and how dare you even ask, yes i kicked his ass"
22980,One year with Emily. WOW!  (L)
10819,I forgot to complain about Southwest not doing preboard for families any more.  Was the worst part of travelling
8743,"@_Marguerite Yup, that's Dianne and Claudia.  Dianne is new to Tweetville, Claudia has been on a while but not active here"
25667,computers are a great distraction-but sometimes you should be exercising to getting your chores done instead.
27586,@CarlosV cool np. It's got me working on a series of designs.
5244,i dont get it
26850,"@MichelleBlanc I've been busy and chained to my laptop  I'll be at Webcom Wed afternoon, then likely Yul Blog. See you there?"
36833,@TeresaHonoursMC goodmorning/night to you too! sleep well
26402,"@red_sunflower yeah, somehow it was one  i'm hoping for someone to have taped it *iz coward herself*"
6279,OMG IM IN SUCH A BAD MOOD 2DAY   wats ppl doin2nite?
5552,@thewordaliveaz  I was SUPPOSED to be coming...life got in the way lol give my friends a wild time!!!
495,"is really, really bored... I guess I will go to bed"
7101,Math is amazing and hell at the same time  socialily that is the naiv part is fine.
26611,@WParenthetical   G'night!
33122,perkinz..  idk wat after dat tho. maybe sum SEX. lol
35272,@Rockstar_Sid I did  $3 for a full length video. Not bad
5012,im not feeling like getting myself in motion to go to work...
3729,ahh yes the obligations of a vampire kept me away from twitter.but now i'm back &amp; will try 2 update as much as possible.i lost a donor
12369,wtf come i need this day to go by
24943,@Seoulbeats romance zero is funny
35567,just installed youtube downloader  anyone knows how to make a trailer out of videos??
12741,"@gfalcone601  haha, i was crying  xx"
22975,"@erry_reeves Thx Ri.. That's all because of His grace  Kalo ngga, aku uda nyerah dr awal, hehe.. His grace is enough.."
9299,@jerseymaids oh man  hope you guys weren't shaken up too bad!
5449,got back from walking to school gotta go back around one or two that heat almost gave me a stroke
24422,@EnchantedStar it can only get better.
19379,was hoping to go to Red Lobster this weekend
714,Very Sad.... please get better Grandma
25935,http://twitpic.com/4jgro - me again
1932,Cape Town was spitting all morning - now that im behind this desk; the sun comes out...perfect timing
6816,@alyssa133 awww i'm sorry  what kind of fish did you have?
37543,@chrisaston Woo hoo!! Congratulations
17805,"I am having serious cig craving... head for kitchen, let the non smoker weight gain begin"
32822,"Birthday was awesome!On video:my daughter opening last gift screaming in joy, &quot;My  Birthday Wish Came True !!&quot;couldn't have been better."
13826,On runway 2 hours
29543,@heartstarbolt I could get away with it. dare me? I'll go buy it tomorrow
25537,2 more days before the big conference: Central-Eastern Europe &amp; Caspian Scout Group Meeting... it is almost too long for twitter
18083,@brighternoise really??
36993,@light_bikes sounds good to me  hahaha
16657,Feels really bad for @crimescenevegas with his epic toothache. Wish there was more I could do than putting a pig in the microwave
15619,hardware store guy told me the screw would be impossible to remove since the head is completely gone. will get a 2nd opinion
34248,I win? You now must call
20750,Off to bed. Yay going to chick fil a tomorrow
14010,i am SOOO mad...yesterday and today...SUCKED!!!so much!
39365,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined
19525,@aub311 Dang me too! It's only a 4 hour drive! Too bad it's my daughters 1st bday party  it's hosted by Donnie
21934,has a face mask on. hehe
39793,"happy mothers day @ my mum  (also to my sis @kamyisonfire and my &quot;mum&quot; jess, ahah)"
18418,@Gaylib1986 it was just areply on you facebook status that you were a little upset
11503,sick on wifes bday= double
23038,@themanwhofell compliment taken. Thanks. Key is to be yourself
34714,@justinbrighten Happy Birthday!
10575,@LadyLucius Oh eww that is suck!
38268,"@Exirel It's on today's menu, don't worry"
22936,Going to see my grandad today  &lt;3
29214,@JoyofZen Doing okay. How are you doing?
39271,@masterballerina yess  you?
37340,happy mothers day
9556,@Huneychild ....back to a frizz head again
2668,All of a sudden I'm craving broccoli and cheese soup really bad...  oh the hunger
5433,i hate not being able to twitterize on my cell phone  oh well
6269,@SuperWiki i want to gooo
29102,@allthatglitrs21 you mum sounds so humble ! what a sweet thing to ask for
22033,Few Bevvies 2day in twn..great on a day off!!
13212,I raced her once. I totally lost  RIP  http://tinyurl.com/lhgca8
26325,So I'm REALLY considering it at the moment  Same days but even more money. Harder work though but can't imagine harder than I do now.
28715,Is watching Bruce almighty
6994,I saw the sun..... but then I blink and it was gone
39157,Happy Mother's day VALK!!
11332,I may have come down with something; we're almost out of tissues!    this is not a good season  http://tinyurl.com/nccqya
21082,"Going to twitter in english, for my foreign followers"
26755,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool"
811,oh no my tweetdeck is malfunctioning :O il have web will its fixd
6996,@Thecookieninja if mom gets paid...
18774,"Aw, Zach wasn't feeling well  Hope he gets better. So babysitting was canceled."
18025,"Hmm, no holga for me probably"
13439,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
13553,@lovekelsey she's not coming to detroit  only grand rapids in october...
1705,NOT excited for 32 people reservation in the morning  damn LOVIN halo3 right now for sure too
14855,"@secretidcrisis Sorry to hear that, dude"
17037,people with mustaches get super powers and mustaches. no fair.
27944,"@weddingsites Not a problem. I loved that idea, and of course the photos were just perfect!"
36716,SCENE SLUTS AT 4AM IS ALWAYS THE SHIT
15287,"nervous about going out tomorrow, cos its the first time since my daughter was born, she's 2!!! HELP"
27705,@makirules I sent you a FR yesterday.
15612,. @LauraLeeShaw Will have to try.  Our Pei Wei closed so I can't try there.
4925,@drford not too good  how are you feeling today?
17399,cleaning my room
37817,@theseainwinter did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!
32776,Going to the alley tonite..Happy Birthday prima
13715,"@dollyblowflake Hi there.  I agree!  Small children should be running about happy, not breaking down in tears"
13724,So freaking close to getting my car back. Told me I could pick it up then call back to tell me there is a crack in the mfing windshied.
25982,"@GlovesElectric well then you should come, nigguh. Only thing is i may be going to like Phuket or Bali afterwards"
14966,"@mspixieriot that sucks...wish we could get it there cheaper...   if you're in montreal, there's a cool shop that carries them up there!"
30411,@taylorswift13 Taylor Swift I think you're so pretty it makes my heart melt everytime I see your face.
18819,"Wow, the new Google icons suck   http://bit.ly/z7JIE"
34994,@AprilFilms meh! You should try the one on commercial drive with all the cats
2021,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
9605,"@lost_in_a_story Glad I'm not the only one. He's our baby, and I'm terrified he'll think we're never coming back."
18965,"is watching &quot;Wall Street&quot;, and realizing that since it is on a movie channel she won't get a potty break"
18215,@JuliaWo I feel your pain... dont you hate those days
34143,@iam151 and you suck horribly  the world is at an even balance
9250,@mellabella6 and if i lived in usa i would gotto 2 go to  106 park ma aunty lives in NYC the bronx GRRR
5805,More BBQs  Might buy some disposable ones some time.
34561,@mileycyrus HI!  I'm Eunice Kyna! I'm a HUGE fan of yours! Can't wait for your next album! ;)
33665,With rooobbbbbiiieeeee
6739,@GoodGreenTea Its been a fun afternoon for me trying though....BBQ's out now though...feeling a bit sick
11652,@yargman i havent seen you all week
35738,Ready to crash!...had a great day and a FUN night! I couldn't ask for anything more  Night!
7111,The best I could do for proof of the crack  LOL  http://twitpic.com/66ust
35343,love the sweet g'nights every night
8783,My heart has been beating irregularly ever since last night. I don't want to explode or implode
36584,@LunarLife hes definitely my fav host ever!  Can't wait to watch the rest tomorrow!!
2560,"i lost all my friends, i'm alone and sleepy..i wanna go home"
30404,so who is in for bring at HK lounge tomorrow ? $12 all you can drink till 5pm... then kareoke. I think it will be a nice Sunday!
27273,@FunkySteph Thank you! I hope you have a great rest of your day! Have you had your afternoon coffee yet?
37438,in Newcastle enjoying the family  With mum on mother's day for the 1st time in years!
27405,@mikerosenhouse did you run into someone I know this weekend?
12482,i just found a crack in my baking bowl...milk spilled everywhere
15720,but i thought 'summer hours' meant i was supposed to get to go home at 4.....
9219,bored. tired got headache
12625,@ArsenalSarah she lookd soo freaked out!!poor wee thing
11775,I'm at work....bored out of my mind.
4561,So I passed out last night in the middle of 4th quarter. I didn't witness my Magic lose
37944,@brgd oh cool you are coming to berlin    ! ! !
5454,@xXHAZELXx: Ok its suppose 2b followfriday not unfollow Friday  aw well I have nice tweeters anyway! &lt;-almost doesnt sound right...lol;)
30760,At Halu for dinner... Second time this week!!
36692,@demiswissfan yer  i hope the competition doesnt end before i post my video! lol but there are some really good singers who entered.....
20696,@codingvictim nice to have you back
28455,"@dragonblogger My pleasure  I really enjoy your random word poetry, and am disappointed when I miss out on participating!"
30790,just got up and updated my ipod
26615,@CobrokeNation Good Morning
13647,@oyfreakinvey u can eat sashimi!!! just not rice
9564,Mummy and Nathan not in today! On My Todd!
30634,animating an ad for work. One of my favorite things to do. So much so that I'm doing it on a saturday night for fun!
31916,"@Appilicious if you can and know how, why not"
27904,may the 4th be with you
23233,"is going to have a relaxing, hot bath  goodnight for now then twits, &amp; dont worry andy i love you more than twitter hehe"
32645,I love my Mom. Yo Amo a mi Mama. ? ? ? Thank you mommy... Ti amo con tutto il mio cuore.  Happy Mother's Day
39679,"@bopuc Kinda the same here, maybe just a damn good coffee? Same dilemma, tho."
2616,@yourmajestyy haaaw..well i get out of class at 10:50..i hope i make it
440,Sooo much work so little time
19591,"Ok, my job at walmart is a cart pusher  i hope i dont get sunburned"
11297,@AgesTheGreat ii DON'T HAVE ANY EiTHER
1220,@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy
39947,"@MancunianLee Oh aye.....he rocks, shes horny"
34315,cannot sleep i'm SUPER DUPER DUPER excited pour la PARIS.  the love city.
16123,"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try."
28739,@MissVerna http://twitpic.com/4visl - WOW this looks incredible! wicked job on the butterflies! they're fantastic!
27897,@Tamarzipan My windows open and its not that cold ahahah
37716,Just woke up. Gonna have a shower and go to Nan's for Mother's day lunch. Happy Mother's day
7521,@Starry1968 you're surrounded by them! I have no official nieces/nephews yet
14988,Feeling deflated. Hubby saw swing set &amp; thinks is a piece of junk. I thought I had found something good 4 the kids
38250,@nindrawr ngobrolin favorite bands at the moment cii... kesian ya kamu speakernya rusak HAHAHA  benerin dong ci.
29395,Download Backseat Goodbye's latest album for FREE!  http://freecd.backseatgoodbye.com/
4572,"@janey79 she's in LA, wanting sun today... but apparently LA isn't cooperating"
29856,@turnontheradiox sure ill follow you hun  ohh thank you are you a subscriber on my youtube?
36134,@ lovelytrinkets I like the way you worded that about Rocky Road
10748,@modulista You're in Miami right? I don't see a hand delivery in your near future unfortunately
19850,Taking the caltrain to go see the giants. It's Cold and someone smells like pee
7120,@jonkragel I have been sick for like 5 days now...
16551,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.
22411,@godskiwi lol  I'm sure it would be the most kick azz version we've ever heard!
2181,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete"
33611,@DefyGravity81 oooooooh I KNO  EEEEEEEKKKKKKK! @coriluvthedon ROCKS!! &gt;
32145,okay im happy again  i watched the second episode of jonas on youtube. i think tomorrow my family is going to olive garden for mothers day
27481,i was helping my dad re decorate my bedroom. time 4 a shower!
30943,ROFL - me too.
10825,is excited about tomorrow!!! but i gotta clean the house  CLEAN CLEAN CLEAN AHHHHHHH
28657,"charlie and the chocolate factory, in the mood for some johnny depp, then bed. Preparing for a 14 1/2 hour wok day tomorrow"
1180,Jay Leno has one more show left as the host of The Tonight Show
27235,"@Julie3160,hey wassup"
5914,@aidadoll he thinks he's a gangsterrr  his ass don't even fit in G Unit. &amp; I know :| )))))
17249,I am SO MAD that Glee won't premiere till Fall
22340,shut up.
39783,"@bobby_rey Nah you do it really gradually with PTFE tape. so goes up 0.1 mm at a time. Ive been doing it for years, I love it!  x"
30833,i blame you all!  got it??? good :p she better be in good condition 2! &lt;33 night
30653,"Happy mother's day, mama. You're the most amazing person I've ever known and I'm so proud to be born as your daughter"
30486,I'm hungry. And single.  heading to the golfing range soon.
28157,@FeliciaSlattery Kids attacking your keyboard?
32995,@oschmid14 How cool is that!   Thank you so much!   luv it!
4073,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee
27829,The World is just amazing!
3245,Jinxed myself! Damn system upgrade didn't stick... Starting again
237,i think the vog is making me sicker than i think. feeling slightly achy
5198,"Kidney Stones again  What did I ever do to deserve this kind of pain, not once or twice but five times in my life??? Took drugs, peace out"
18887,"lumiere is not impressed with my cuddling. but then again, who is  http://sml.vg/jL0kI1"
27910,pilot to co-pilot baby we burnin' up   /i cannot stress how much this line works.
28574,"@DAChesterFrench DAMMIT. I guess my baby daddy is some impostor then...i kid, i kid"
18113,@yes_i_am_jes YAY! congrats! i'm afraid to check my grades!
16300,Feeling like crap sucks.
6480,Just read McDonald's is actually running more ads than before the economic slowdown. Great. I'm lovin it.
20160,"http://twitpic.com/4j8yk - Thelma, Rebeca, Fernanda Symonds, Fernanda Cordova"
33175,Just ordered henna! I'll be a redhead again in a few weeks.
26693,"@MissEileen hahaha  Really, I'm just trying to figure out the last time he was on FB by looking at all of his friends pages"
37402,@lilbumbles Happy Mother's Day to the only mother I have on my list!
14950,my day is starting at 2:38pm. woops  work in less than 3 hours...
11602,"**i hate my hair hiss tee, I feel like I shuld hang out in the ghetto wid dis style"
35827,@whoariley riley hacked my twitter!  hahaha :]
4990,@patrickmanning Yes PM PM you are right
7452,@vegansteak yeah dude. Mike is out
37533,"had a cracking night last night, don't think i've ever laughed so much  nice, lazy day today woop!"
10403,@BabyStowz yo wats up? how u doin 2day? u havnt answerd any of my replys
33910,It feels like its nine and not one. Guess what? I love making money
4422,"waking now, so lazy and very worry ..."
20936,@Retrorewind I loved the song when I first heard it..but THAT video just gave me goosebumps. Thanks for sharing
31646,Laying in the dark thinking of you.
25311,@taylorswift13 I created my account just to get a chance to chat with you (: I ADMIRE YOU! you're amazing! you inspire me to write  &lt;3
5230,@ShakeYourJunk
25905,"is now at school! About to take the ECAs, &quot;LAME!&quot; (Steal from Brennan) Good Job LC and you too Brennan!"
21284,HMV opens in half an our...better go get ready
12639,"@unscriptable yes, at an upgraded consumption rate, too"
3359,"On a day like today I would wear shorts and tshirt, but now I'm at DHQ it's office wear..."
32071,Happy mothers dayyy all mothers especially mine
34208,my legs are soft  watching a move with my mommm short day @ workk
11482,"@Emmaroo youre not going, are you   ?"
35259,my hair doesn't look completely retarded. success
15274,early phonograph industry? done.. just the rest of APM to revise  and only berry the green rabbit and ribena man for company
19989,@albertposis congratulations ! you guys finish a month earlier than we do. booo
16693,@Its_Aitana K ??? What??? No way!!!! No
22740,@penelopeoverton George B Shaw apparently wrote 2000 words a day. Sure practice works- the more you do the more it comes as 2nd nature
37328,"@lina83 Like your pics, Lucky Girl, again"
2675,picat 21
24028,"Just opened a facebook account, I'm a little confused I don't really get it. Twitter seems much better"
7122,@cfieds  i'm sorry to hear that
39666,suivez moi  (=  follow me everybody
21259,"http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?"
12434,@anrserge addict? Me? Okay I admit I need help  BUT... I have been writing hits big bro. I really really have *smile*
34412,at tokyo table
14215,Wish I had a laptop charger so I could tweet faster
27785,"Finished my Marilyn Manson book  wow. He has had a colourful (or not so colourful, more black) life"
32257,@lyssaloo I was gonna text u and ask what puff meant!!
13689,@gregverdino I can't believe you tweeted that. It was our special moment
6255,My friends are mocking my weekend!  @JamesPMacDonald have they been talking to you?
25119,first compree over .. completed the exam in 2 hrs instead of the alloted 3
22984,having a lazy day after a very alcoholic wk end!!
2663,"@karinb_za its not fruit, its those sugar covered sweets. My tummy is not happy"
9086,I wish it would rain...but it won't
13141,@xoxoJL whatever!! Stupid Aussies!
35758,@michaelmagical Hello again  How'd ur saturday go?
26913,@amytropolis wow. sounds heavenly.  we're just doing a quick drive to north carolina. i can't wait
13723,@Clumsyflic the kid that got a second chance shudnt have. mowgli didnt. gutted
26990,@mzunyque thanks. before the major chop.
2199,"I'm torn, do I get an extended warranty for my iPhone when mine runs out, or jailbreak? I've already got problems with battery &amp; earpiece"
37737,Good Morning good old Germany - I wanna say hello to New York.  I'm not in love. . .not really.
39542,"@daniellebabeyy babe  ive been aight, urselff?"
7974,gprof problem on Mac  why ??
9965,"i want to go to bocum tottal to see lostalone, but have no passport  dam you poorness"
12460,35 hours in the sun=rash
13051,i looked all cute too!
20550,watching &quot;Knowing&quot; and lovin it
21549,"Didn't get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun"
25198,my portfolio v2 uploaded! any comments and feedback are warmly welcomed!  http://www.maxiin.net/
8800,@Col_RFTL Think @PembsDave must have blocked me as not heard a Tweet from him for a while
1538,Hangover
4580,"is just waking up.. not very impressed with my sleep or my dreams. today is going to be a sucky day, I can feel it"
10130,"@chrisbrownweb Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, &amp; It Failed  Lol,"
2315,wowowee willie of fortune is just making me depressed  damn love.
12483,@jess_lokelani  i have no idea!
32953,drinking a cup of ice chocolate
4922,I'm going to miss my iMac so much over the next month.
35113,So tired and I have to work till 10:30 tonight!    Happy mothers day to everyone too  http://tinyurl.com/qu62bl
27353,@JesssEv me too dawg  thanks so much!
9796,@stevico1 Its so nice i ahd to work today
13323,R.i.p. to my lil sis's cousins babyfather Jimmy aka GemStar
37401,http://twitpic.com/4wqyn - See? I'm Twittering!!!!
23947,Star Warz day? Really..that is a hot topic? Man..oh man.. I'm just waiting for Star Trek!
20659,@deversum lolz  I'm the other way 'round. My English is better than my Dutch (which is considered weird here :p)
22498,I'm tired from walking my dog hmm maybe a quick snooze
17957,my puppy is sick
34895,@ztnewetnorb then i kill Bradies gf and have Bradie
10984,"@DavidGibbons Thanks for the link. I've been out of NY, missed many non-online bills so know how badly my score's been hit"
7579,@evlover0327 ...I will take some...I am tiny
2404,I miss Feb 23rd 2008  best night of my whole entire fucking life. I'd rather re-live that night then win $1million.
31022,"@kakakatey That's cause Ovie is the one man team and when they show Pens highlights, it's the whole because we have more than 1 superstar"
36451,good morning to everyone
4999,"@the_magician Yes, apnea, but it's not the prob. I'm on meds that might be causing this.  they help otherwise so much, don't want to stop"
34279,@mattcutts - Try this one  @deltaairlines
5324,i am very very tired
13784,"@TomVMorris Tom, your FB link isn't working."
14489,@arikhanson Shoot! I voted and somehow looked over yours ... boo hiss. Forgive me   Have a great weekend Arik.
8005,@pilmorelee you beggar! Making me feel homesick
29277,@KaydeeisMeeko HAHA my rooommate are watching that! i have a huge crush on landon.
30121,@victor_go you sure ?
16363,"can't sleep without my routine &quot;before-bed snack&quot;, but  to find that it comes along with a fatfat tummy."
31254,"If you guys would be interested in watching me get tattooed tomorrow, let me know!"
6940,Anyone know what to do when your pc keeps restarting itself?
37064,? listening No Doubt ï¿½  &quot; It's My Life &quot; 59 listeners&lt;&lt; ohh yeahhh thanks   ? http://blip.fm/~5z4va
16984,@rosaacosta why don't u use twitpic? none of ur pics show up on my phone
17370,Trying to figure out how this works  ... BOO
33866,@diana_truong ahhh~~ is hb done or.. cause we are still hoping for an encore of SNSD  lol!!!
31903,happy mothers day! im gunna crawl up in a ball and act like i dont exist  lmfaoo
25442,"haha moms back today from a weekend away , her first words, ' whys the house so dirty?' i love life .."
26818,Had a great weekend with John-back to work for 3 days then going to Illinois on Thurs &amp; Fri for more Gigs with John
16828,It's STILL not working!! Why not!! This is FRUSTRATING!!!
3366,@vxpresxv aww... me too
4643,feels not good at all
27034,@sadknob right now if be happy to win a packet of salt n vinegar crisps  or a new exhaust as mine fell off on the A1 !
20137,@lilmarshmellow 1 pm...
24279,@morganmg starbucks? I thought u were trying to b good?!
39596,"@Sweet_Libertine um, glad you enjoyed it..."
19206,..dat dude look crazy w/ dat hair on his face lmao ..stop it!! ..the old wrestlers went to TNA  thanks Vince ..these dudes are clowns lol
15581,Strained a muscle in my lower back today. &amp;*#&amp; it hurts! What hurts most is .. no running this weekend.
34336,11:11 I made a wish
1642,not so good mood..
24498,Everyone is here. We're off to party now
26242,"@Dreamyeyes Yes,i was red like a lobster for days-cuz im too pale- but today finally got a nice color ~~"
14792,wishes people wouldn't be so stubborn sometimes.
19709,is Jay Leno's last show tonight
36331,just started twittering
35081,"@discombob Yeah, she's done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food."
19897,@mommy41402. I was like &quot;whyyyyy?!&quot;
